observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1
6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
